ID	DISARM	DISCENT	ACTARM	ACTCENT	ARM	CENTER	SIM	DOM	SCENARIO
4044388921372_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	606.5	689	1161	1135	1767.5	1824	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4044418921393_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	668.5	692	1377	1347	2045.5	2039	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4044448921431_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	705	765	1646	1631	2351	2396	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4044498921476_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	614.5	669	1110.5	1141	1725	1810	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4044578921520_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	677	730	1581	1520	2258	2250	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4044668921577_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	612.5	701	1267.5	1305	1880	2006	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4044678921588_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	655.5	707	1435	1452	2090.5	2159	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4044688921596_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	581.5	620	1021.5	1103	1603	1723	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4055461221716_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1746.5	2005	7193.5	7147	8940	9152	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4062478927367_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1880.5	1929	7421.5	7294	9302	9223	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4062958927585_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1785.5	2055	7807	7735	9592.5	9790	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4063278927750_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1941.5	2183	7968	7713	9909.5	9896	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4076642001754_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1918.5	2101	7978	7666	9896.5	9767	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4092762544585_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1980.5	2185	8343.5	7988	10324	10173	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4105342961811_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1878.5	2001	7792.5	7645	9671	9646	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4123999080568_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1813	1993	7379	7098	9192	9091	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4127133801849_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL_WEAK.txt	1859.5	2004	7929.5	7641	9789	9645	DOM_SEL_ALL_WEAK	HIGH_LOW_HIGH	SEL_ALL_WEAK
4135548920432_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	641	710	1384.5	1366	2025.5	2076	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4135638920444_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	655.5	738	1425.5	1396	2081	2134	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4136658920728_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	717.5	645	1479.5	1443	2197	2088	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4136668920744_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	641.5	713	1239	1150	1880.5	1863	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4136928920977_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	653	673	1153.5	1181	1806.5	1854	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4137228921247_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	591.5	647	1175.5	1085	1767	1732	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4137478921400_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	641	672	1303	1298	1944	1970	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4137488921425_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	643.5	711	1420.5	1375	2064	2086	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4137688921534_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	648	712	1331.5	1278	1979.5	1990	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4137718921562_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	656.5	756	1440.5	1409	2097	2165	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4137758921616_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	625	745	1318.5	1317	1943.5	2062	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4137788921652_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	657	657	1331	1285	1988	1942	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4137908921760_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	594	675	1074.5	1032	1668.5	1707	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4137928921773_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	651	708	1405.5	1400	2056.5	2108	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138068921869_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	636.5	670	1169	1166	1805.5	1836	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
4138078921888_TE_DISARM_DISCENT_ACTARM_ACTCENT_DOM_SEL_ALL.txt	619	692	1211	1270	1830	1962	DOM_SEL_ALL	HIGH_LOW_HIGH	SEL_ALL
