POS	VALUE	DOM	SCENARIO	SIM
1.9	4186	NO_DOMAINS	SEL_CENTER	1616491723005_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
2.1	8221	NO_DOMAINS	SEL_CENTER	1616491723005_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
3	8221	NO_DOMAINS	SEL_CENTER	1616491723005_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0	7358	NO_DOMAINS	SEL_CENTER	1618211751481_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0.9	7358	NO_DOMAINS	SEL_CENTER	1618211751481_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.1	4076	NO_DOMAINS	SEL_CENTER	1618211751481_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
1.9	4076	NO_DOMAINS	SEL_CENTER	1618211751481_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
2.1	7358	NO_DOMAINS	SEL_CENTER	1618211751481_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
3	7358	NO_DOMAINS	SEL_CENTER	1618211751481_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR.txt
0	16116.5	NO_DOMAINS	SEL_CENTER_WEAK	1634832352182_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	16116.5	NO_DOMAINS	SEL_CENTER_WEAK	1634832352182_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	11335	NO_DOMAINS	SEL_CENTER_WEAK	1634832352182_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	11335	NO_DOMAINS	SEL_CENTER_WEAK	1634832352182_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	16116.5	NO_DOMAINS	SEL_CENTER_WEAK	1634832352182_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	16116.5	NO_DOMAINS	SEL_CENTER_WEAK	1634832352182_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	15749	NO_DOMAINS	SEL_CENTER_WEAK	1637965323537_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	15749	NO_DOMAINS	SEL_CENTER_WEAK	1637965323537_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	11646	NO_DOMAINS	SEL_CENTER_WEAK	1637965323537_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	11646	NO_DOMAINS	SEL_CENTER_WEAK	1637965323537_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	15749	NO_DOMAINS	SEL_CENTER_WEAK	1637965323537_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	15749	NO_DOMAINS	SEL_CENTER_WEAK	1637965323537_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	84502.5	NO_DOMAINS	NEUTRAL	1639622871917_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
0.9	84502.5	NO_DOMAINS	NEUTRAL	1639622871917_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
1.1	85128	NO_DOMAINS	NEUTRAL	1639622871917_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
1.9	85128	NO_DOMAINS	NEUTRAL	1639622871917_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
2.1	84502.5	NO_DOMAINS	NEUTRAL	1639622871917_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
3	84502.5	NO_DOMAINS	NEUTRAL	1639622871917_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_NEUTRAL.txt
0	14303.5	NO_DOMAINS	SEL_CENTER_WEAK	1639832503620_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	14303.5	NO_DOMAINS	SEL_CENTER_WEAK	1639832503620_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	10553	NO_DOMAINS	SEL_CENTER_WEAK	1639832503620_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	10553	NO_DOMAINS	SEL_CENTER_WEAK	1639832503620_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	14303.5	NO_DOMAINS	SEL_CENTER_WEAK	1639832503620_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	14303.5	NO_DOMAINS	SEL_CENTER_WEAK	1639832503620_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	15248.5	NO_DOMAINS	SEL_CENTER_WEAK	1646432712201_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	15248.5	NO_DOMAINS	SEL_CENTER_WEAK	1646432712201_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	10828	NO_DOMAINS	SEL_CENTER_WEAK	1646432712201_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	10828	NO_DOMAINS	SEL_CENTER_WEAK	1646432712201_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	15248.5	NO_DOMAINS	SEL_CENTER_WEAK	1646432712201_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	15248.5	NO_DOMAINS	SEL_CENTER_WEAK	1646432712201_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	15795	NO_DOMAINS	SEL_CENTER_WEAK	1666073318546_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	15795	NO_DOMAINS	SEL_CENTER_WEAK	1666073318546_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	11488	NO_DOMAINS	SEL_CENTER_WEAK	1666073318546_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	11488	NO_DOMAINS	SEL_CENTER_WEAK	1666073318546_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
2.1	15795	NO_DOMAINS	SEL_CENTER_WEAK	1666073318546_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
3	15795	NO_DOMAINS	SEL_CENTER_WEAK	1666073318546_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0	16775.5	NO_DOMAINS	SEL_CENTER_WEAK	1690195248093_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
0.9	16775.5	NO_DOMAINS	SEL_CENTER_WEAK	1690195248093_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.1	12508	NO_DOMAINS	SEL_CENTER_WEAK	1690195248093_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
1.9	12508	NO_DOMAINS	SEL_CENTER_WEAK	1690195248093_TE_DISARM_DISCENT_ACTARM_ACTCENT_NO_DOM_SEL_CENTR_WEAK.txt
