rep_class	rep_count	adj_r2	F	numdf	dendf	beta_Estimate	beta_std_error	t_value	p_value	arm_lower	arm_mean	arm_upper	center_lower	center_mean	center_upper	arm_cen_effect_size_lower	arm_cen_effect_size	arm_cen_effect_size_upper	percent_genome_repeat	repeat_total_bp	p_adjust	p_sig	species	label
CACTA	500	0.000236150244687	3.48488738086836	1	10519	14.6438357506029	7.844413441104	1.86678530658144	0.061959374004789	9.9050050442508	12.8893746436039	15.873744242957	5.1085974885358	8.39657794676806	11.6845584050003	0.000452114588125	0.038676468391387	0.076900822194648	0.104713833822698	111977	0.100088219546197	FALSE	briggsae	
R2	220	0.000130363688394	2.37160480936308	1	10519	4.81981307392744	3.12974557590261	1.54000156148074	0.123590052176033	2.51197009200867	3.18228473674206	3.85259938147546	0.893598423508063	2.53384030418251	4.17408218485696	-0.024231604677252	0.013989643471758	0.052210891620768	0.028119569045862	30070	0.185385078264049	FALSE	briggsae	
DIRS	188	7.16830576941163E-05	1.75415982742506	1	10519	12.7973808614999	9.66243342695984	1.32444698928461	0.185383412080854	7.58771940134823	11.9053411898879	16.2229629784275	2.72206919476435	6.07851711026616	9.43496502576797	0.002502074075856	0.040726816747724	0.078951559419591	0.088470504447021	94607	0.259536776913196	FALSE	briggsae	
I	44	2.12205757088579E-05	1.22324519385021	1	10519	3.06612939892628	2.77225847781771	1.106004156344	0.268750014211463	-0.05275662357469	1.46797186846607	2.98870036050683	0.1808714824912	0.567680608365019	0.954489734238838	-0.016292293831619	0.02192963558551	0.060151565002639	0.010014381939213	10709	0.352734393652545	FALSE	briggsae	
Penelope	5	-5.26751463041375E-05	0.44588664888323	1	10519	0.492730078357323	0.737898861061689	0.667747443936128	0.504309469098014	-0.129475313869791	0.288158144839384	0.705791603548559	0	0	0	-0.011850394090646	0.026372047886508	0.064594489863662	0.001417667664567	1516	0.615786267873288	FALSE	briggsae	
PIF-Harbinger	11	-5.71687176256219E-05	0.398619470732455	1	10519	-0.380660243385456	0.602918023627668	-0.631363184492446	0.527816801034247	-0.047143079390377	0.181524425014256	0.410191929418888	-0.046339184360133	0.207034220532319	0.460407625424772	-0.041077878593569	-0.00285707845429	0.035363721684989	0.001911419991012	2044	0.615786267873288	FALSE	briggsae	
Bel-Pao	268	-7.41873903455925E-05	0.219606548918225	1	10519	5.04067533883439	10.7563786649789	0.468621968027778	0.639349582786898	8.64416827245563	13.4158905151112	18.1876127577668	4.16257048296709	7.94315589353612	11.7237413041052	-0.003861547092542	0.034362054019109	0.072585655130759	0.105073861560731	112362	0.706649538869729	FALSE	briggsae	
Maverick	454	-9.41218843484304E-05	0.009930963818158	1	10519	-2.15061952034071	21.5808170772947	-0.099654221276144	0.920620744705013	16.6760410721663	25.9771906481657	35.2783402241652	14.5082738122579	22.427566539924	30.34685926759	-0.027113936102147	0.011107139239103	0.049328214580353	0.238118605387203	254635	0.966651781940264	FALSE	briggsae	
Merlin	1336	-9.49502702261018E-05	0.001217991842561	1	10519	-0.303414737648524	8.69389682652794	-0.034899739863798	0.972160350243182	21.4297651734753	24.9528606728759	28.4759561722765	22.5114195526124	25.9475285171103	29.3836374816082	-0.04594680491111	-0.007725881686009	0.030495041539091	0.250393213411678	267761	0.972160350243182	FALSE	briggsae	
Helitron	7202	0.065249274524714	701.063617362405	1	10028	1005.03731761481	37.9580132411045	26.4776059597993	2.21190509313419E-149	326.371546191476	346.403110047847	366.434673904218	42.370833393066	50.0472676505784	57.7237019080907	0.500915348749822	0.540769724721285	0.580624100692748	1.8595152128318	1988495	5.08738171420864E-148	TRUE	elegans	
hAT	5545	0.057743034320941	615.593377707082	1	10028	261.707802618783	10.5479898054135	24.8111543001746	6.13104763166973E-132	104.100580709539	109.345893141946	114.591205574353	31.8741392028056	34.7355404866374	37.5969417704692	0.449089867365872	0.488815492701383	0.528541118036894	0.675770194014272	722643	7.05070477642019E-131	TRUE	elegans	
PiggyBac	6982	0.056255460863539	598.816457318706	1	10028	437.618234028259	17.8833363750346	24.4707265384316	1.69137091383476E-128	172.100359355819	181.532496012759	190.9646326697	44.9833138631437	48.5656162744316	52.1479186857195	0.476080164532033	0.51587126890159	0.555662373271146	1.07921821239121	1154075	1.29671770060665E-127	TRUE	elegans	
Jockey	5941	0.022130148487396	227.96605160368	1	10028	453.467364990448	30.0338459402786	15.0985446849582	5.99891735487744E-51	176.029026766562	191.039274322169	206.049521877776	47.9874728746373	55.9411647387316	63.8948566028258	0.271939271811213	0.311321021004221	0.35070277019723	1.1583934552381	1238742	3.44937747905453E-50	TRUE	elegans	
Tc1-Mariner	13032	0.021803982004806	224.546335809424	1	10028	453.537084799648	30.2663338313187	14.9848702299828	3.21700141984098E-50	311.714913989974	325.562998405104	339.411082820234	175.462732255007	185.502592740327	195.542453225647	0.281162572725095	0.320558514299614	0.359954455874133	2.39688139297631	2563134	1.47982065312685E-49	TRUE	elegans	
tRNA	472	0.009127536253485	93.3832929417408	1	10028	27.7428483237661	2.87088935773147	9.66350314025615	5.37261956325498E-22	10.2083683308778	11.6499202551834	13.091472179489	2.8594261526111	3.60929397686478	4.35916180111846	0.154467560236409	0.193704590547857	0.232941620859304	0.071568838636082	76533	2.05950416591441E-21	TRUE	elegans	
PIF-Harbinger	727	0.006402799130973	65.6274691880825	1	10028	70.3036110178359	8.67830289341177	8.10107827317339	6.08172565839724E-16	21.5487557298807	26.3036283891547	31.0585010484288	0.380738069715314	1.58097327483047	2.78120847994563	0.158092364469117	0.197332857700211	0.236573350931304	0.130793869111027	139866	1.99828128775909E-15	TRUE	elegans	
CACTA	516	0.00406887888721	41.9735025794069	1	10028	95.2768239312271	14.7061728340392	6.47869605548885	9.68610133021384E-11	21.9375401501596	29.7424242424242	37.5473083346889	4.82291211193656	7.7335460710012	10.6441800300658	0.064252826367442	0.103424326021074	0.142595825674705	0.175772087666661	187964	2.78475413243648E-10	TRUE	elegans	
Gypsy	972	0.001771705649113	18.7999722663758	1	10028	75.0220666282167	17.3025622011502	4.33589347959284	1.46587080949821E-05	26.3040619316927	34.366028708134	42.4279954845753	10.7935550063634	16.3597925807738	21.9260301551843	0.032793217190467	0.071951219342708	0.111109221494949	0.23790632929231	254408	3.74611429093987E-05	TRUE	elegans	
