rep_class	rep_count	adj_r2	F	numdf	dendf	beta_Estimate	beta_std_error	t_value	p_value	arm_lower	arm_mean	arm_upper	center_lower	center_mean	center_upper	arm_cen_effect_size_lower	arm_cen_effect_size	arm_cen_effect_size_upper	percent_genome_repeat	repeat_total_bp	p_adjust	p_sig	species
LINE	53519	0.00175421230809347	22.6164855067905	1	12300	-257.898460192703	54.2295736277901	-4.75567928973247	2.00025294716979e-06	603.909430272232	622.995447894651	642.08146551707	644.643563820632	668.705901479434	692.768239138236	-0.0879620551852797	-0.0526105361515195	-0.0172590171177594	6.45985437898539	7945255	4.50056913113203e-06	TRUE	inopinata
TIR	87412	0.0007430988806304	10.1476569442688	1	12300	-246.801592288342	77.4756215160105	-3.1855387212007	0.00144845443206231	1245.39878904772	1274.99626077061	1304.5937324935	1272.93475001311	1305.31328239311	1337.69181477311	-0.0597763516356145	-0.0244296281637932	0.0109170953080281	12.904239752959	15871484	0.00260721797771216	TRUE	inopinata
DIRS	815	0.000321992523097614	4.96210579506416	1	12300	-19.0514325488409	8.55253042336976	-2.22757845991205	0.0259266578101348	8.42099360791509	11.0785238172655	13.7360540266159	11.4314701924262	15.478133636807	19.5247970811878	-0.0674717159444089	-0.0321240312443451	0.00322365345571861	0.132810993833082	163350	0.0388899867152022	TRUE	inopinata
Maverick	1099	0.000175208041009123	3.15561179297133	1	12300	-23.5176780648366	13.2389229859723	-1.77640417500392	0.0756910362311325	19.9565533845435	25.0832384978052	30.209923611067	26.1290812736347	31.5945374735815	37.0599936735284	-0.066062633575737	-0.0307151444414035	0.00463234469293008	0.283448011784868	348625	0.0973170465828847	FALSE	inopinata
SINE	236	-2.7880366038735e-05	0.657053178839721	1	12300	-2.56849950389001	3.16868615142097	-0.810588168455305	0.417617896551963	1.55793504137742	2.16777759713868	2.77762015289993	0.81969695173539	2.50642172004552	4.19314648835565	-0.0420196725422697	-0.00667416904169619	0.0286713344588773	0.0233758731784202	28751	0.466027861440199	FALSE	inopinata
PLE	14	-3.80949689733345e-05	0.531411637516908	1	12300	0.205126664249711	0.281388657310877	0.728979860844524	0.466027861440199	0.00834425436272876	0.143879044057877	0.279413833753025	0.000722634527743432	0.0843765241424159	0.168030413757088	-0.0221398015595711	0.0132059887970627	0.0485517791536966	0.00114151598005294	1404	0.466027861440199	FALSE	inopinata
NA	76985	0.0818804122268363	1052.01848489445	1	11784	1935.88875706897	59.6854829299472	32.4348344360574	3.92949680556037e-221	1118.96941338469	1147.94248388191	1176.91555437914	568.933228418429	586.276985743381	603.620743068333	0.563742680139044	0.60065898124372	0.637575282348396	8.53148554767767	10220317	3.53654712500433e-220	TRUE	nigoni
TIR	85716	0.00919446189999562	110.362260630111	1	11784	640.179185243907	60.9384292254405	10.5053443841747	1.06013233483713e-25	1207.67050611648	1233.34781133356	1259.02511655064	1067.12915802726	1090.2578071962	1113.38645636514	0.113371401220613	0.149532828699325	0.185694256178037	11.4304595306259	13693151	4.77059550676708e-25	TRUE	nigoni
Helitron	21202	0.00460007846753829	55.4624563125121	1	11784	207.027064648891	27.7988976576957	7.44731201927998	1.01901526537392e-13	275.91036426572	286.765863590092	297.621362914464	231.389135054965	242.804141208418	254.219147361872	0.0646544471515516	0.100788363935128	0.136922280718704	2.6051109860088	3120800	3.05704579612176e-13	TRUE	nigoni
LINE	11855	0.00378629229289806	45.7910466665891	1	11784	208.797284518117	30.855640148507	6.76690820586395	1.37796810850826e-11	166.062030097186	179.732270105192	193.402510113198	117.336282445749	128.220807875085	139.105333304421	0.0703202949913444	0.106456861376045	0.142593427760745	1.51493364346241	1814819	3.10042824414358e-11	TRUE	nigoni
