rep_class	rep_count	adj_r2	F	numdf	dendf	beta_Estimate	beta_std_error	t_value	p_value	arm_lower	arm_mean	arm_upper	center_lower	center_mean	center_upper	arm_cen_effect_size_lower	arm_cen_effect_size	arm_cen_effect_size_upper	percent_genome_repeat	repeat_total_bp	p_adjust	p_sig	species
Merlin	1336	-9.50296325805677e-05	0.000383258464839852	1	10519	-0.168637521134182	8.6140687159241	-0.0195769881452694	0.984381192419237	21.1130830977676	24.6080593043148	28.103035510862	22.1121353368857	25.5123574144487	28.9125794920116	-0.045309937850985	-0.00708903716364565	0.0311318635236937	0.246556346374925	263658	0.984381192419237	FALSE	briggsae
Helitron	7202	0.06251261770519	669.743979711716	1	10028	946.942555430604	36.5905742124089	25.8794122752375	5.24691067860507e-143	308.545674926601	327.780502392344	347.015329858088	41.2120099990243	48.8125249301955	56.4130398613666	0.488174168662535	0.52799572359646	0.567817278530385	1.85287639944357	1888893	1.20678945607917e-141	TRUE	elegans
PiggyBac	6982	0.0543266695333515	577.142047361246	1	10028	412.700037724385	17.1788129408971	24.0237808714874	4.80436933891016e-124	163.821675266684	172.849681020734	181.877686774784	43.9789780624673	47.5085759872357	51.0381739120041	0.466388362781854	0.506155560355911	0.545922757929967	1.08414810153133	1105222	5.52502473974668e-123	TRUE	elegans
hAT	5545	0.0522756240363582	554.190618240202	1	10028	236.296030395427	10.0375296495034	23.5412535401196	2.55662965164879e-119	94.8282439291677	99.795653907496	104.763063885824	29.9758768042495	32.7445153570004	35.5131539097513	0.421887738167052	0.461550845924286	0.501213953681519	0.652080718065296	664756	1.96008273293074e-118	TRUE	elegans
Tc1-Mariner	13032	0.0206979316501936	212.966831510505	1	10028	438.641422203088	30.0575553971398	14.5933831413591	9.53623442697532e-48	305.058953723214	318.796052631579	332.533151539944	173.424274925817	183.41902672517	193.413778524522	0.272578342692244	0.31196106202031	0.351343781348376	2.47071767105924	2518744	5.48333479551081e-47	TRUE	elegans
Jockey	5941	0.0179139871540207	183.936499265519	1	10028	402.345817782358	29.6664467876202	13.5623190961398	1.55524354692843e-41	158.553662957342	173.352671451356	188.151679945369	45.2690680787832	53.1806940566414	61.0923200344996	0.24099170726631	0.280328838663514	0.319665970060718	1.11452071234411	1136185	7.15412031587078e-41	TRUE	elegans
tRNA	472	0.00909865861665693	93.0883275211459	1	10028	27.3567881145605	2.83542061721278	9.64822924277535	6.22749854907572e-22	10.0272042938644	11.450956937799	12.8747095817336	2.82167702484456	3.56242520941364	4.30317339398272	0.153172837749257	0.192408646678429	0.231644455607602	0.0738642119368863	75300	2.38720777714569e-21	TRUE	elegans
PIF-Harbinger	727	0.00551780530871382	56.6451083151568	1	10028	63.0108682296251	8.37209712632362	7.52629446109813	5.66890063913619e-14	19.5130083673913	24.0909090909091	28.6688098144268	0.310215414480626	1.50498603909055	2.69975666370047	0.147630713089233	0.186861386160415	0.226092059231597	0.125937990886176	128386	1.86263878143046e-13	TRUE	elegans
CACTA	516	0.00402776039679342	41.55776598305	1	10028	94.7466453322222	14.6973063057492	6.44653131405174	1.19704444094478e-10	21.7633204659057	29.5643939393939	37.3654674128822	4.77319485489835	7.67949740725967	10.585799959621	0.0637332628267263	0.102904500246313	0.1420757376659	0.183238177819527	186800	3.44150276771624e-10	TRUE	elegans
Gypsy	972	0.00170370573364687	18.1156247908356	1	10028	73.4726494978476	17.2623152155189	4.2562453865861	2.09779922372561e-05	25.2436244056203	33.2878787878788	41.3321331701373	10.0495804284681	15.6011168727563	21.1526533170445	0.0316828035606343	0.0708404177760719	0.109998031991509	0.240520707969147	245196	5.36104246063211e-05	TRUE	elegans
Merlin	421	0.00129365416669336	13.9908633222347	1	10028	8.36429322790423	2.23618120301036	3.74043624758324	0.000184724789588215	5.91320106965982	6.87101275917065	7.82882444868149	4.14077348892167	4.96888711607499	5.79700074322831	0.0196585624461572	0.0588123622962589	0.0979661621463607	0.0582467867277606	59379	0.000424867016052894	TRUE	elegans
Bel-Pao	741	0.00102490495845031	11.2893174007214	1	10028	104.054536834526	30.9689997608321	3.35995794627274	0.000782451259940818	43.9861468956002	58.2681419457735	72.5501369959469	13.0093704367962	23.1679297965696	33.3264891563431	0.0392409098581378	0.0784012838271859	0.117561657796234	0.40064909868348	408437	0.00163603445260353	TRUE	elegans
RTE	501	0.000646927745978187	7.49223837355394	1	10028	31.0020548846869	11.3262120317525	2.73719534808056	0.00620746917541096	13.9032620084152	19.1935805422648	24.4838990761143	8.71502444188979	12.3382528919027	15.9614813419156	0.0027035002217866	0.041853123919993	0.0810027476181994	0.155123673459326	158139	0.011897649252871	TRUE	elegans
Sola	54	0.000627034694104855	7.29247654828566	1	10028	0.607690048622527	0.225032167822752	2.70045858110907	0.00693602128615591	0.196438115436898	0.310207336523126	0.423976557609354	0.0187948602465134	0.0759872357399282	0.133179611233343	0.0328456217037217	0.0720036423132315	0.111161662922741	0.00190006611582668	1937	0.0122714222755066	TRUE	elegans
L1	100	0.000516893113888806	6.18660195802817	1	10028	17.0920638904151	6.87176691595773	2.48728807298798	0.012888241314867	3.37958044829642	7.22886762360447	11.0781547989125	-0.175717833488885	0.372556840845632	0.920831515180149	0.0298666890381282	0.06902368177608	0.108180674514032	0.0374009916697158	38128	0.0211735393029958	TRUE	elegans
Maverick	66	0.000365621627004931	4.66816045602784	1	10028	21.7484774578716	10.0659778655931	2.16059261685951	0.0307504293579223	1.8363524610436	6.63696172248804	11.4375709839325	-0.50111470966892	2.56920622257678	5.63952715482249	-0.0112030513613013	0.0279441973673235	0.0670914460959484	0.0452925930645664	46173	0.0471506583488142	TRUE	elegans
Copia	5	0.000313614484154789	4.1462263637473	1	10028	-0.84044929190503	0.41274803203143	-2.03622846550854	0.0417536410309487	0	0	0	-0.0390590189924636	0.194654966094934	0.428368951182332	-0.0717616271870903	-0.0326136866671667	0.00653425385275689	0.000957390051134144	976	0.0600208589819888	FALSE	elegans
